Subj_idx,Stimulus,Response,Confidence,RT_decConf,Accuracy,Raw_Response,StimulusType
10,0,0,3,2.698,1,1,Word
10,0,0,1,2.656,1,3,Word
10,0,1,2,1.449,0,5,Word
10,0,1,2,1.347,0,5,Word
10,0,0,2,1.901,1,2,Word
10,1,0,1,2.05,0,3,Word
10,0,0,1,1.101,1,3,Word
10,1,1,3,0.976,1,6,Word
10,0,1,1,1.561,0,4,Word
10,1,1,2,1.161,1,5,Word
10,0,0,2,1.553,1,2,Word
10,0,1,2,1.266,0,5,Word
10,1,1,3,2.167,1,6,Word
10,0,1,1,2.17,0,4,Word
10,1,1,1,1.329,1,4,Word
10,1,1,1,1.553,1,4,Word
10,0,1,1,1.12,0,4,Word
10,1,1,3,1.212,1,6,Word
10,0,1,2,2.251,0,5,Word
10,0,0,1,1.558,1,3,Word
10,0,1,2,1.43,0,5,Word
10,1,1,2,1.459,1,5,Word
10,0,1,2,0.893,0,5,Word
10,1,1,3,0.96,1,6,Word
10,1,1,3,1.155,1,6,Word
10,0,0,1,1.811,1,3,Word
10,1,1,3,0.705,1,6,Word
10,1,1,3,0.645,1,6,Word
10,1,1,3,0.699,1,6,Word
10,0,0,1,1.216,1,3,Word
10,0,0,1,2.201,1,3,Word
10,1,1,2,1.383,1,5,Word
10,1,1,3,0.784,1,6,Word
10,0,1,3,0.892,0,6,Word
10,1,1,3,0.54,1,6,Word
10,0,1,3,0.499,0,6,Word
10,1,1,3,0.731,1,6,Word
10,1,1,3,0.619,1,6,Word
10,0,0,2,1.82,1,2,Word
10,0,1,1,1.216,0,4,Word
10,1,1,2,0.939,1,5,Word
10,1,1,3,1.087,1,6,Word
10,0,0,1,1.859,1,3,Word
10,0,0,1,1.006,1,3,Word
10,1,1,3,0.997,1,6,Word
10,1,1,2,1.829,1,5,Word
10,0,1,1,1.258,0,4,Word
10,1,0,1,0.994,0,3,Word
10,0,1,2,1.124,0,5,Word
10,1,1,2,1.026,1,5,Word
10,0,0,1,1.652,1,3,Word
10,1,1,2,0.803,1,5,Word
10,0,0,1,1.017,1,3,Word
10,1,1,2,1.042,1,5,Word
10,1,1,3,0.942,1,6,Word
10,0,1,3,1.316,0,6,Word
10,0,0,1,0.908,1,3,Word
10,0,0,2,1.451,1,2,Word
10,1,0,2,1.01,0,2,Word
10,1,1,3,0.741,1,6,Word
10,0,0,1,1.307,1,3,Word
10,1,1,3,0.966,1,6,Word
10,0,1,3,0.824,0,6,Word
10,1,1,3,0.659,1,6,Word
10,0,0,3,1.273,1,1,Word
10,0,0,1,2.104,1,3,Word
10,0,0,1,0.866,1,3,Word
10,1,1,3,0.8,1,6,Word
10,1,0,1,1.391,0,3,Word
10,0,1,3,0.78,0,6,Word
10,0,1,3,0.809,0,6,Word
10,0,1,2,1.846,0,5,Word
10,1,1,2,1.57,1,5,Word
10,1,1,2,1.12,1,5,Word
10,0,0,3,1.118,1,1,Word
10,1,1,3,0.684,1,6,Word
10,1,1,3,0.884,1,6,Word
10,1,1,3,0.765,1,6,Word
10,0,0,2,1.475,1,2,Word
10,1,1,2,1.203,1,5,Word
10,1,1,1,1.903,1,4,Word
10,1,1,2,1.191,1,5,Word
10,1,1,3,1.068,1,6,Word
10,0,0,1,1.429,1,3,Word
10,0,0,1,1.116,1,3,Word
10,1,1,3,0.675,1,6,Word
10,0,1,3,1.061,0,6,Word
10,0,0,1,0.978,1,3,Word
10,1,1,3,1.125,1,6,Word
10,1,0,2,1.219,0,2,Word
10,0,0,2,1.52,1,2,Word
10,1,1,2,1.602,1,5,Word
10,1,0,2,1.343,0,2,Word
10,0,0,3,1.1,1,1,Word
10,0,0,2,1.045,1,2,Word
10,1,1,3,0.896,1,6,Word
10,0,0,3,2.306,1,1,Word
10,0,0,1,1.726,1,3,Word
10,0,0,1,1.083,1,3,Word
10,0,0,1,1.697,1,3,Word
10,0,1,2,1.524,0,5,Word
10,1,1,3,1.064,1,6,Word
10,0,0,1,2.095,1,3,Word
10,0,1,1,1.538,0,4,Word
10,1,1,1,0.957,1,4,Word
10,0,1,1,0.74,0,4,Word
10,1,1,3,0.72,1,6,Word
10,0,0,1,1.261,1,3,Word
10,0,0,1,1.506,1,3,Word
10,0,0,2,1.445,1,2,Word
10,1,0,2,0.992,0,2,Word
10,1,1,3,0.71,1,6,Word
10,0,0,2,1.3,1,2,Word
10,0,1,2,0.924,0,5,Word
10,1,1,3,0.688,1,6,Word
10,0,1,3,0.803,0,6,Word
10,0,0,3,1.374,1,1,Word
10,1,1,3,0.754,1,6,Word
10,0,0,1,1.947,1,3,Word
10,0,0,3,1.077,1,1,Word
10,1,1,3,0.712,1,6,Word
10,1,1,3,0.578,1,6,Word
10,1,1,3,0.52,1,6,Word
10,0,1,2,1.528,0,5,Word
10,0,0,2,1.189,1,2,Word
10,0,1,1,1.584,0,4,Word
10,1,1,3,0.722,1,6,Word
10,1,0,1,1.638,0,3,Word
10,1,1,3,0.689,1,6,Word
10,0,1,3,0.78,0,6,Word
10,0,1,2,1.433,0,5,Word
10,0,1,2,1.046,0,5,Word
10,0,0,2,1.339,1,2,Word
10,1,1,3,1.28,1,6,Word
10,1,0,2,1.016,0,2,Word
10,1,1,3,0.686,1,6,Word
10,1,1,2,1.315,1,5,Word
10,1,0,2,1.932,0,2,Word
10,0,1,3,1.056,0,6,Word
10,0,0,2,1.977,1,2,Word
10,1,0,2,1.372,0,2,Word
10,0,0,2,0.771,1,2,Word
10,0,0,2,1.052,1,2,Word
10,1,1,2,1.734,1,5,Word
10,1,1,3,0.69,1,6,Word
10,1,1,2,2.733,1,5,Word
10,1,1,3,0.617,1,6,Word
10,1,1,1,1.414,1,4,Word
10,1,1,3,1.397,1,6,Word
10,0,1,1,1.046,0,4,Word
10,1,0,2,3.011,0,2,Word
10,1,0,2,1.266,0,2,Word
10,1,1,3,0.964,1,6,Word
10,0,1,3,0.944,0,6,Word
10,0,1,3,0.892,0,6,Word
10,0,0,2,1.188,1,2,Word
10,1,1,2,0.924,1,5,Word
10,0,1,1,1.217,0,4,Word
10,1,1,3,1.264,1,6,Word
10,0,1,3,0.728,0,6,Word
10,1,1,2,1.967,1,5,Word
10,0,0,3,1.076,1,1,Word
10,1,1,3,1.824,1,6,Word
10,1,1,3,2.512,1,6,Word
10,0,1,1,2.238,0,4,Word
10,0,0,2,1.415,1,2,Word
10,0,0,2,1.416,1,2,Word
10,1,0,2,1.008,0,2,Word
10,0,0,2,0.973,1,2,Word
10,0,0,1,1.074,1,3,Word
10,1,1,1,1.211,1,4,Word
10,1,1,1,0.986,1,4,Word
10,1,1,1,0.954,1,4,Word
10,1,1,1,0.808,1,4,Word
10,1,1,2,1.04,1,5,Word
10,0,0,2,1.726,1,2,Word
10,0,0,2,1.291,1,2,Word
10,0,0,2,0.896,1,2,Word
10,1,1,3,1.389,1,6,Word
10,0,1,1,2.187,0,4,Word
10,1,1,1,1.211,1,4,Word
10,1,1,3,1.187,1,6,Word
10,1,0,2,2.911,0,2,Word
10,0,0,1,1.063,1,3,Word
10,1,1,2,1.973,1,5,Word
10,0,1,1,1.466,0,4,Word
10,0,0,2,1.851,1,2,Word
10,1,0,2,2.102,0,2,Word
10,0,0,1,1.312,1,3,Word
10,1,1,3,1.599,1,6,Word
10,1,1,2,1.052,1,5,Word
10,1,1,3,2.232,1,6,Word
11,0,0,1,7.538,1,3,Word
11,0,0,3,3.875,1,1,Word
11,1,0,3,2.952,0,1,Word
11,0,0,2,2.732,1,2,Word
11,1,1,3,2.122,1,6,Word
11,1,1,1,2.808,1,4,Word
11,1,1,3,1.835,1,6,Word
11,1,1,1,2.814,1,4,Word
11,0,1,1,3.425,0,4,Word
11,1,1,3,1.422,1,6,Word
11,1,1,3,0.959,1,6,Word
11,1,1,1,2.359,1,4,Word
11,1,1,3,2.339,1,6,Word
11,0,1,1,1.572,0,4,Word
11,1,1,3,1.191,1,6,Word
11,0,0,1,1.892,1,3,Word
11,0,0,1,2.927,1,3,Word
11,0,0,1,1.489,1,3,Word
11,0,0,1,1.247,1,3,Word
11,0,0,1,2.341,1,3,Word
11,1,0,1,1.232,0,3,Word
11,0,0,1,1.017,1,3,Word
11,1,0,1,1.363,0,3,Word
11,1,0,1,0.85,0,3,Word
11,0,0,1,1.486,1,3,Word
11,1,0,1,2.412,0,3,Word
11,1,1,3,1.756,1,6,Word
11,1,0,1,0.981,0,3,Word
11,0,0,1,1.061,1,3,Word
11,0,0,1,2.222,1,3,Word
11,1,0,1,1.232,0,3,Word
11,0,0,1,1.546,1,3,Word
11,1,0,1,1,0,3,Word
11,0,0,1,1.7,1,3,Word
11,0,0,1,1.34,1,3,Word
11,0,0,1,1.03,1,3,Word
11,1,1,1,3.38,1,4,Word
11,0,1,1,2.799,0,4,Word
11,0,1,1,0.697,0,4,Word
11,0,1,1,0.677,0,4,Word
11,0,1,1,0.725,0,4,Word
11,0,1,1,0.892,0,4,Word
11,0,1,3,1.386,0,6,Word
11,1,1,3,0.729,1,6,Word
11,0,1,1,0.901,0,4,Word
11,1,1,1,4.241,1,4,Word
11,1,1,3,1.958,1,6,Word
11,1,1,3,0.744,1,6,Word
11,1,1,3,0.802,1,6,Word
11,0,0,1,1.41,1,3,Word
11,1,0,1,0.959,0,3,Word
11,1,1,3,0.888,1,6,Word
11,0,0,1,1.749,1,3,Word
11,1,0,1,0.781,0,3,Word
11,1,1,3,1.129,1,6,Word
11,1,0,1,3.205,0,3,Word
11,1,0,1,2.23,0,3,Word
11,0,0,1,0.909,1,3,Word
11,1,0,1,1.094,0,3,Word
11,0,0,1,2.114,1,3,Word
11,0,0,1,0.657,1,3,Word
11,1,0,1,0.912,0,3,Word
11,0,0,1,0.696,1,3,Word
11,0,0,1,1.172,1,3,Word
11,1,1,3,2.707,1,6,Word
11,0,0,1,1.029,1,3,Word
11,1,0,1,2.484,0,3,Word
11,0,0,1,0.96,1,3,Word
11,1,1,3,1.415,1,6,Word
11,0,0,1,0.952,1,3,Word
11,0,0,1,3.64,1,3,Word
11,1,0,1,0.857,0,3,Word
11,1,1,1,2.568,1,4,Word
11,0,0,1,3.047,1,3,Word
11,1,1,3,1.012,1,6,Word
11,1,0,1,1.115,0,3,Word
11,0,0,1,0.942,1,3,Word
11,0,0,1,0.687,1,3,Word
11,0,0,1,0.719,1,3,Word
11,1,0,1,0.604,0,3,Word
